Date,Forecasted_Volatility
2025-01-01,0.007830634007647285
2025-01-02,0.007903536695415435
2025-01-03,0.007973425935189564
2025-01-04,0.008040456279534685
2025-01-05,0.008104771571154957
2025-01-06,0.008166505953921205
2025-01-07,0.008225784761158988
2025-01-08,0.008282725299217744
2025-01-09,0.008337437541272917
2025-01-10,0.008390024743834138
2025-01-11,0.008440583996418005
2025-01-12,0.008489206713197358
2025-01-13,0.008535979074085666
2025-01-14,0.0085809824215972
2025-01-15,0.00862429361889571
2025-01-16,0.008665985373670249
2025-01-17,0.008706126531828519
2025-01-18,0.008744782344452641
2025-01-19,0.008782014711001528
2025-01-20,0.008817882401353476
2025-01-21,0.008852441258950083
2025-01-22,0.008885744387018791
2025-01-23,0.008917842319607946
2025-01-24,0.008948783178959255
2025-01-25,0.008978612820562027
2025-01-26,0.009007374967077687
2025-01-27,0.00903511133218765
2025-01-28,0.009061861735299987
2025-01-29,0.00908766420794762
2025-01-30,0.009112555092621058
